,Geo_FIPS,year,Geo_NAME,vehicles_per_worker,pct_unemployed,average_commute_time_per_worker_drive_alone,pct_car_wrkr_cmute_01_to_14_min,pct_car_wrkr_cmute_15_to_29_min,pct_car_wrkr_cmute_30_to_44_min,pct_car_wrkr_cmute_44_to_59_min,pct_car_wrkr_cmute_over_60_min,total_workers,land_area,total_population,ln_average_commute_time_per_worker_drive_alone,ln_vehicles_per_worker
1638,30081,2014,"Ravalli County, Montana",0.8068949035071996,9.32283464566929,25.930006697923645,0.3240212725059268,0.27077593387582494,0.19946177997052605,0.09373998846671365,0.06862305375792914,16737,6192239819,40640,3.2554008578584317,-0.2145618502869221
1642,30089,2014,"Sanders County, Montana",0.8016550297388156,10.396475770925111,21.801526717557252,0.39123006833712987,0.28416856492027337,0.12044419134396356,0.0541002277904328,0.08257403189066059,3867,7149771755,11373,3.0819800002583233,-0.22107690113405945
1644,30093,2014,"Silver Bow County, Montana",0.8586018776960163,7.243150684931507,14.955499930468642,0.5589630303424079,0.27080761483984145,0.052693132350074716,0.019816776037944253,0.032161652914040675,15764,1860834525,34462,2.7050791205080396,-0.15244993626649272
1645,30095,2014,"Stillwater County, Montana",0.7095553453169348,4.162173819279706,26.95990424895272,0.27581863979848864,0.22141057934508815,0.1632241813602015,0.09219143576826197,0.08916876574307304,4228,4649913133,9214,3.2943507344410903,-0.34311677933988144
1646,30097,2014,"Sweet Grass County, Montana",0.6658521686010995,3.125,18.837700760777683,0.4561766735679779,0.21048999309868874,0.047619047619047616,0.03036576949620428,0.07177363699102829,1637,4804811323,3622,2.9358602214022693,-0.4066876021479456
1648,30101,2014,"Toole County, Montana",0.7423285198555957,2.4390243902439024,17.117954677513072,0.4645286686103013,0.17541302235179787,0.1423712342079689,0.027210884353741496,0.02672497570456754,2216,4961657512,5208,2.840127893805082,-0.29796338466770217
1650,30105,2014,"Valley County, Montana",0.8172531214528944,4.108858057630736,18.795081967213115,0.6151234567901235,0.15833333333333333,0.07808641975308642,0.009259259259259259,0.08055555555555556,3524,12758104559,7518,2.933595238124648,-0.20180641392607854
1653,30111,2014,"Yellowstone County, Montana",0.8590982181376073,4.531393287277618,18.7393802029878,0.37512960344711505,0.4425368612401535,0.07987611930249781,0.018232007001952467,0.028842658048879016,76493,6820172437,151965,2.9306272027834965,-0.15187202344386544
1654,31001,2014,"Adams County, Nebraska",0.8967355096602265,6.684792245404575,15.244994359842076,0.5969280736179714,0.22146288652818188,0.09858583124703972,0.023208606806955814,0.01955477366533595,15010,1458868930,31396,2.7242512104724277,-0.10899432142878883
1655,31003,2014,"Antelope County, Nebraska",0.7798165137614679,1.9347037484885126,17.80916030534351,0.5023090586145649,0.21598579040852575,0.13072824156305507,0.05008880994671403,0.03161634103019538,3161,2220183929,6531,2.8797129488202784,-0.24869662573882725
