,fips,cbp_total_employees,cbp_total_establishments
613246,36001,183540,9526
614271,36003,11066,753
614538,36005,281091,18451
615534,36007,71656,4141
616347,36009,20814,1576
616826,36011,19261,1552
617302,36013,41002,2764
617988,36015,31018,1721
618520,36017,13398,874
618853,36019,25619,1789
619398,36021,17028,1771
619913,36023,14976,1040
620297,36025,10201,1049
620664,36027,101218,7599
621631,36029,427343,22762
623000,36031,10093,1174
623355,36033,10805,960
623691,36035,14050,1139
624063,36037,17042,1259
624507,36039,10660,1167
624878,36041,938,190
624963,36043,12669,1108
625339,36045,30055,2420
625934,36047,677323,60707
627321,36049,4711,518
627526,36051,13657,1213
627941,36053,17481,1334
628378,36055,361787,17565
629640,36057,15934,1053
630017,36059,580276,48915
631366,36061,2327677,101883
632708,36063,63307,4590
633533,36065,89008,4874
634392,36067,220326,11581
635526,36069,48567,2930
636257,36071,122988,9752
637360,36073,7684,661
637634,36075,24021,2111
638156,36077,19241,1337
638571,36079,22076,2877
639181,36081,602904,51163
640524,36083,45372,3063
641178,36085,109566,9539
642103,36087,118341,10400
643127,36089,26986,1893
643652,36091,74465,5406
644478,36093,55660,3004
645146,36095,5453,575
645396,36097,3662,383
645545,36099,10346,716
645846,36101,25619,1786
646351,36103,594392,49932
647837,36105,22592,1998
648322,36107,8058,767
648628,36109,50689,2348
649237,36111,46888,4856
650092,36113,31608,2240
650660,36115,10567,1070
651050,36117,20186,1713
651527,36119,392824,31580
652775,36121,8720,776
653072,36123,5276,528
653290,36999,335435,929
653510,37001,61650,3346
654229,37003,7948,566
654438,37005,2298,249
654556,37007,5167,388
654728,37009,6060,543
654951,37011,4741,484
655153,37013,12997,1087
655528,37015,5333,289
655653,37017,10869,531
655866,37019,28026,2590
656438,37021,123369,8892
657452,37023,24409,1467
657905,37025,68150,4598
658717,37027,21248,1357
659146,37029,557,111
659208,37031,19996,2036
659741,37033,1759,237
659846,37035,84721,4202
660685,37037,14183,1506
661138,37039,7404,600
661373,37041,4201,362
661548,37043,1833,224
661655,37045,30928,1951
662170,37047,11713,963
662484,37049,29044,2158
663055,37051,93688,5726
663877,37053,5130,670
664128,37055,15244,1989
664582,37057,38091,2826
665249,37059,10160,838
665564,37061,13797,865
665873,37063,200346,7689
666804,37065,11571,721
667083,37067,185736,8661
668126,37069,11167,1097
668472,37071,69160,4258
669276,37073,845,117
669338,37075,1964,163
669412,37077,15711,907
669706,37079,2203,261
669835,37081,262198,13660
671043,37083,13103,949
671349,37085,23344,1744
671836,37087,15652,1401
672262,37089,35339,2800
672963,37091,7477,475
673183,37093,5774,448
673368,37095,734,164
673449,37097,72738,4926
674321,37099,12189,1006
674632,37101,44097,3537
675310,37103,800,132
675383,37105,24077,1336
675823,37107,24138,1173
676240,37109,20220,1782
676725,37111,14497,770
677026,37113,9864,1146
677422,37115,3049,343
677567,37117,4978,447
677754,37119,655533,33186
679109,37121,4131,360
679272,37123,8164,493
679487,37125,32880,2319
680057,37127,37739,2083
680610,37129,102660,7830
681581,37131,4551,250
681709,37133,37064,2904
682309,37135,49242,3328
682973,37137,2285,237
683105,37139,11068,910
683436,37141,9528,1153
683793,37143,1391,191
683892,37145,8492,699
684150,37147,61820,3659
684883,37149,3970,478
685070,37151,40211,2494
685728,37153,11495,810
686004,37155,33444,1777
686454,37157,21114,1614
686929,37159,48004,2682
687589,37161,15719,1233
687986,37163,12852,971
688330,37165,9578,582
688548,37167,16698,1340
688965,37169,6213,632
689204,37171,30051,1610
689675,37173,3658,375
689813,37175,7973,875
690117,37177,552,72
690149,37179,59403,5006
690963,37181,13221,841
691260,37183,497013,30266
692524,37185,2037,262
692651,37187,2597,222
692757,37189,19081,1668
693223,37191,33298,2148
693777,37193,18835,1160
694157,37195,31696,1767
694665,37197,8516,613
694915,37199,3693,324
695081,37999,97465,827
695316,38001,717,97
695357,38003,3509,356
695524,38005,906,72
695566,38007,264,57
695594,38009,1679,252
695723,38011,1093,156
695796,38013,325,70
695837,38015,47861,3025
696550,38017,108178,5603
697455,38019,1172,141
697533,38021,1482,201
697651,38023,483,89
697700,38025,2773,189
697786,38027,518,79
697821,38029,679,128
697886,38031,1353,139
697953,38033,374,66
697985,38035,34893,1892
698558,38037,395,73
698601,38039,555,91
698646,38041,453,93
698697,38043,569,74
698726,38045,999,146
698804,38047,442,69
698836,38049,795,123
698918,38051,793,114
698970,38053,8004,576
699172,38055,2569,259
699309,38057,3770,240
699438,38059,10463,869
699768,38061,4104,408
699943,38063,684,125
700026,38065,557,46
700049,38067,2469,260
700194,38069,1411,167
700292,38071,4351,452
700520,38073,1488,201
700642,38075,492,111
700704,38077,6130,520
700913,38079,2171,194
701009,38081,1916,116
701075,38083,129,40
701092,38085,563,31
701109,38087,66,15
701118,38089,15241,1177
701518,38091,526,63
701554,38093,9100,664
701848,38095,461,83
701898,38097,2635,285
702034,38099,3342,384
702216,38101,26390,2043
702802,38103,1295,177
702902,38105,22156,1547
703328,38999,7590,206
703417,39001,4360,389
703608,39003,46156,2345
704257,39005,18909,1038
704635,39007,24440,1880
705196,39009,13562,1045
705549,39011,20741,989
705938,39013,18953,1375
706365,39015,5621,545
706593,39017,141966,7259
707578,39019,5380,453
707788,39021,9594,584
708050,39023,39729,2198
708641,39025,52499,3603
709401,39027,15131,724
709704,39029,26882,1955
710259,39031,8585,627
710547,39033,12435,772
710840,39035,669407,31780
712274,39037,17073,1161
712670,39039,13398,808
712996,39041,86243,4811
713813,39043,32581,1805
714344,39045,37156,2687
714973,39047,9831,589
715226,39049,670124,29192
716564,39051,16107,935
716908,39053,9549,571
717157,39055,30039,2753
717803,39057,56628,3260
718452,39059,13689,844
718773,39061,498435,20916
720105,39063,44225,1663
720611,39065,7045,437
720813,39067,3093,266
720949,39069,8023,544
721185,39071,8585,676
721456,39073,5250,479
721663,39075,18572,1305
722073,39077,18201,1085
722442,39079,8457,619
722696,39081,18659,1232
723060,39083,18353,1105
723454,39085,86547,5611
724375,39087,10342,794
724681,39089,55592,3042
725369,39091,16905,829
725683,39093,85744,5516
726576,39095,195017,9367
727653,39097,14507,679
727929,39099,85266,5360
728857,39101,22200,1088
729244,39103,54831,3978
730056,39105,2698,322
730202,39107,16907,1028
730581,39109,36404,2101
731161,39111,1838,259
731285,39113,234554,11044
732409,39115,2253,158
732500,39117,3864,405
732670,39119,28458,1710
733187,39121,1906,219
733303,39123,10209,1019
733671,39125,3876,302
733805,39127,4965,425
733992,39129,10783,804
734304,39131,7484,418
734482,39133,47987,3000
735169,39135,9552,660
735422,39137,10246,736
735710,39139,40279,2658
736379,39141,22592,1230
736817,39143,22818,1289
737265,39145,18850,1252
737638,39147,16947,1033
738011,39149,25889,965
738386,39151,147315,8071
739429,39153,248954,13201
740610,39155,59481,3899
741377,39157,30714,2119
741975,39159,25554,1068
742382,39161,10520,548
742603,39163,1691,145
742681,39165,82565,4419
743480,39167,23401,1355
743958,39169,42436,2514
744590,39171,15924,797
744915,39173,58059,2718
745614,39175,8892,487
745842,39999,169474,1035
746098,40001,3069,222
746211,40003,913,135
746275,40005,2081,258
746412,40007,1179,147
746488,40009,8872,744
746772,40011,2369,255
746896,40013,10901,809
747207,40015,4914,459
747402,40017,30034,2791
748042,40019,20147,1602
748530,40021,9423,755
748838,40023,3260,292
748983,40025,328,68
749017,40027,72124,5818
749834,40029,852,85
749878,40031,32384,2123
750427,40033,1310,78
750463,40035,3866,354
750617,40037,17142,1374
751053,40039,10131,922
751402,40041,7918,749
751698,40043,1306,166
751790,40045,961,112
751858,40047,21659,1601
752363,40049,7800,700
752644,40051,11105,1127
753021,40053,842,125
753097,40055,476,75
753131,40057,455,49
753151,40059,469,87
753195,40061,2538,217
753316,40063,2033,203
753427,40065,6663,519
753645,40067,970,101
753699,40069,2131,170
753779,40071,14607,1080
754178,40073,6448,493
754379,40075,1342,182
754470,40077,3264,153
754552,40079,6834,791
754855,40081,5898,562
755106,40083,6991,885
755446,40085,5313,157
755524,40087,8571,902
755857,40089,8457,610
756093,40091,3151,347
756265,40093,1954,256
756406,40095,4383,303
756552,40097,11447,786
756881,40099,3692,277
757009,40101,23210,1370
757463,40103,3905,208
757576,40105,1445,149
757660,40107,1809,161
757742,40109,386898,24047
759025,40111,6843,654
759285,40113,5730,595
759526,40115,8857,562
759743,40117,3221,255
759850,40119,24015,1843
760396,40121,10973,919
760742,40123,14073,961
761096,40125,17537,1312
761528,40127,1836,189
761630,40129,563,84
761663,40131,30078,1799
762193,40133,5324,438
762387,40135,6934,583
762607,40137,11928,1083
762983,40139,7866,443
763186,40141,1024,125
763245,40143,343395,19035
764510,40145,8562,994
764857,40147,18297,1124
765235,40149,1515,220
765329,40151,2548,270
765465,40153,7465,763
765771,40999,53897,499
765946,41001,4454,519
766183,41003,29149,2182
766730,41005,147709,12265
767905,41007,15577,1532
768383,41009,8854,966
768721,41011,18498,1566
769219,41013,4357,554
769442,41015,5485,706
769701,41017,71896,7669
770683,41019,31836,2592
771295,41021,571,69
771336,41023,1538,219
771439,41025,1457,201
771557,41027,10792,1029
771933,41029,77088,6412
772885,41031,4488,417
773080,41033,24136,2048
773656,41035,17211,1567
774135,41037,1338,205
774236,41039,127760,10024
775386,41041,14815,1571
775831,41043,37607,2688
776496,41045,8387,710
776798,41047,111350,8565
777820,41049,3763,193
777934,41051,453756,27789
779368,41053,15484,1524
779824,41055,488,54
779862,41057,7332,729
780154,41059,23984,1543
780644,41061,7558,765
780943,41063,1780,365
781108,41065,7906,709
781403,41067,290205,15945
782607,41069,140,27
782615,41071,31947,2615
783247,41999,22729,540
783417,42001,29542,1957
783967,42003,704581,33731
785375,42005,14358,1269
785777,42007,50861,3350
786472,42009,12662,1066
786852,42011,162134,8354
787925,42013,53539,3205
788628,42015,18887,1314
789050,42017,256809,19456
790353,42019,85841,4959
791255,42021,46181,3049
791918,42023,1671,114
791977,42025,13507,1152
792344,42027,46608,3356
793099,42029,260642,14849
794295,42031,11039,943
794636,42033,25535,1913
795154,42035,10777,767
795462,42037,23240,1394
795912,42039,27125,1950
796481,42041,125876,6139
797395,42043,151385,6850
798372,42045,224336,12883
799460,42047,13952,885
799800,42049,116333,6194
800774,42051,33867,2518
801374,42053,1029,96
801416,42055,51117,3079
802120,42057,5775,250
802246,42059,12437,697
802525,42061,9735,826
802843,42063,24192,1827
803366,42065,15130,1106
803750,42067,6156,490
803946,42069,91930,5196
804806,42071,242635,13287
806033,42073,26034,1926
806575,42075,48371,2752
807223,42077,183734,8579
808287,42079,137561,7112
809268,42081,45644,2768
809906,42083,12291,958
810242,42085,44298,2774
810943,42087,14954,974
811297,42089,47784,3395
812003,42091,528077,26354
813370,42093,15002,456
813561,42095,113005,6353
814541,42097,23402,1649
814999,42099,5930,795
815292,42101,668557,29077
816576,42103,8821,930
816901,42105,4741,359
817082,42107,40831,2708
817690,42109,15571,894
818019,42111,19890,1651
818505,42113,880,157
818591,42115,6781,811
818895,42117,10388,854
819211,42119,16857,948
819554,42121,15554,1155
819958,42123,13416,866
820287,42125,86667,5176
821152,42127,12550,1300
821555,42129,127911,8439
822590,42131,10473,652
822867,42133,168358,8662
823942,42999,102128,1269
824188,44001,14273,1266
824616,44003,71197,4696
825442,44005,32768,2756
826057,44007,278048,16033
827310,44009,43260,3738
828046,44999,5402,312
828172,45001,4101,326
828314,45003,50104,2844
828961,45005,1825,117
829019,45007,63173,3809
829751,45009,2961,264
829877,45011,4309,333
830028,45013,57733,5496
830800,45015,55413,3407
831508,45017,3404,231
831608,45019,209573,14397
832759,45021,18967,920
833095,45023,7686,529
833306,45025,13995,690
833563,45027,5636,483
833765,45029,7358,748
834022,45031,17655,1087
834395,45033,6320,449
834567,45035,32400,2478
835156,45037,4945,311
835314,45039,5506,315
835452,45041,67075,3138
836135,45043,20426,1832
836620,45045,245614,13859
837799,45047,22384,1302
838227,45049,3389,313
838367,45051,115376,9369
839317,45053,8447,702
839597,45055,16097,1119
839995,45057,21700,1516
840452,45059,18358,920
840780,45061,2069,194
840885,45063,108960,6764
841828,45065,1023,88
841870,45067,5760,480
842068,45069,5251,316
842214,45071,12456,767
842488,45073,19924,1604
842951,45075,25300,1613
843374,45077,27097,2079
843905,45079,162412,9116
844891,45081,4120,232
845018,45083,141317,6662
846029,45085,32663,1763
846540,45087,6366,402
846711,45089,6823,477
846915,45091,90388,5391
847819,45999,185547,674
848021,46003,627,83
848076,46005,6818,566
848307,46007,695,58
848335,46009,1017,167
848430,46011,14100,896
848761,46013,18313,1254
849203,46015,2001,227
849317,46017,162,10
849319,46019,2198,338
849490,46021,377,56
849518,46023,2283,278
849653,46025,586,130
849728,46027,3789,305
849874,46029,14252,1110
850287,46031,170,36
850307,46033,1398,292
850438,46035,10531,719
850743,46037,1408,201
850851,46039,867,132
850924,46041,552,78
850959,46043,799,103
851019,46045,819,129
851091,46047,2511,209
851180,46049,429,72
851223,46051,3366,285
851367,46053,1056,187
851471,46055,628,82
851521,46057,1335,192
851622,46059,1008,131
