,fips,cbp_total_employees,cbp_total_establishments
171073,12115,149363,14331
172169,12117,185304,14014
173281,12119,26554,1665
173748,12121,8791,660
174023,12123,4652,400
174215,12125,1609,125
174287,12127,156337,13224
175404,12129,3656,453
175591,12131,22400,2569
176134,12133,4186,410
176319,12999,1464454,1346
176572,13001,5608,381
176736,13003,1566,92
176783,13005,3280,238
176896,13007,262,30
176904,13009,12959,811
177196,13011,3388,287
177333,13013,18540,1314
177759,13015,36040,2163
178362,13017,4708,295
178513,13019,3100,247
178630,13021,74800,4108
179383,13023,1590,169
179460,13025,1397,203
179555,13027,2088,210
179667,13029,6376,708
179919,13031,18826,1495
180352,13033,9936,346
180522,13035,5337,374
180682,13037,605,61
180718,13039,9529,857
181000,13043,2341,226
181119,13045,38833,2131
181645,13047,12738,953
181961,13049,1708,150
182048,13051,147681,8078
183067,13053,1429,100
183117,13055,4762,318
183257,13057,58791,5706
184123,13059,49838,3104
184777,13061,277,39
184792,13063,71159,3781
185477,13065,1641,127
185532,13067,360023,20869
186730,13069,14227,823
187042,13071,11646,895
187369,13073,33186,2529
187939,13075,3302,312
188075,13077,38164,2603
188685,13079,508,107
188739,13081,7333,501
188944,13083,2956,213
189036,13085,8353,736
189312,13087,6969,601
189566,13089,289015,17293
190737,13091,3489,307
190890,13093,2792,151
190975,13095,36694,2222
191553,13097,38685,2670
192172,13099,2969,214
192278,13101,105,28
192288,13103,8229,781
192552,13105,4515,437
192726,13107,4951,376
192920,13109,4052,226
193034,13111,5453,634
193276,13113,43278,3608
193984,13115,37509,2012
194527,13117,77736,6783
195423,13119,6781,461
195601,13121,840711,37892
196962,13123,6271,589
197198,13125,213,27
197213,13127,32263,2595
197819,13129,19993,1027
198193,13131,4764,409
198369,13133,5475,457
198563,13135,337848,24903
199819,13137,11972,861
200108,13139,83924,4569
200960,13141,618,63
200988,13143,5742,467
201172,13145,4199,447
201332,13147,6485,406
201510,13149,1262,109
201562,13151,55750,3931
202254,13153,41427,2587
202794,13155,1521,118
202849,13157,26556,1366
203304,13159,1567,183
203396,13161,3810,242
203526,13163,3753,307
203680,13165,1058,101
203730,13167,879,123
203798,13169,2737,328
203961,13171,3179,259
204078,13173,899,91
204135,13175,16005,1056
204506,13177,4382,414
204688,13179,13781,852
204975,13181,818,145
205054,13183,410,82
205096,13185,42174,2770
205735,13187,4916,529
205969,13189,6056,414
206144,13191,1147,171
206231,13193,1807,173
206313,13195,2364,379
206471,13197,1218,80
206514,13199,2925,284
206644,13201,1303,135
206719,13205,4983,358
206876,13207,6265,529
207114,13209,1152,105
207173,13211,6862,510
207383,13213,6381,408
207562,13215,81640,4359
208294,13217,19983,1457
208732,13219,14201,1234
209123,13221,1157,176
209218,13223,20304,2072
209709,13225,7086,468
209917,13227,6851,717
210198,13229,3097,329
210339,13231,1930,260
210452,13233,10588,609
210677,13235,2082,171
210771,13237,4789,460
210979,13239,197,34
210994,13241,4873,497
211193,13243,1443,129
211258,13245,85150,4261
212021,13247,33671,2073
212576,13249,741,60
212604,13251,2324,221
212720,13253,1587,178
212812,13255,16786,1137
213201,13257,8468,541
213436,13259,731,55
213464,13261,8744,604
213726,13263,585,63
213757,13265,40,14
213760,13267,3648,303
213907,13269,1690,126
213982,13271,2968,176
214073,13273,1808,173
214172,13275,17052,1129
214564,13277,18014,1078
214951,13279,9338,655
215216,13281,2748,281
215349,13283,669,85
215391,13285,34576,1458
215814,13287,1614,153
215904,13289,1600,74
215939,13291,6214,564
216188,13293,5503,457
216370,13295,11267,680
216627,13297,18603,1754
217081,13299,12007,866
217418,13301,905,79
217451,13303,5227,346
217633,13305,6172,578
217873,13307,367,32
217889,13309,725,59
217912,13311,6523,649
218178,13313,48524,2178
218747,13315,671,80
218804,13317,1880,194
218902,13319,2030,136
218991,13321,2917,265
219123,13999,182373,902
219358,15001,56111,4196
220163,15003,368904,21420
221396,15007,28272,2196
221946,15009,67706,4838
222756,15999,32181,238
222841,16001,214169,14788
224034,16003,535,110
224092,16005,25109,2154
224653,16007,998,130
224726,16009,2187,252
224854,16011,10970,908
225185,16013,11872,1532
225627,16015,770,175
225719,16017,13063,1656
226218,16019,54154,3681
226968,16021,2641,404
227153,16023,334,54
227171,16025,190,30
227180,16027,59146,4785
227985,16029,2086,183
228077,16031,8440,734
228385,16033,81,15
228392,16035,1664,226
228514,16037,766,175
228595,16039,4346,457
228826,16041,2416,334
228981,16043,1784,329
229132,16045,2886,407
229330,16047,2845,363
229509,16049,3555,495
229718,16051,4287,561
229939,16053,6474,557
230179,16055,55398,5177
231055,16057,9401,933
231385,16059,1914,298
231527,16061,872,110
231588,16063,574,93
231632,16065,19380,971
231955,16067,5596,447
232153,16069,16753,1139
232566,16071,754,102
232613,16073,1945,198
232720,16075,5731,558
232973,16077,2298,178
233078,16079,3733,355
233247,16081,2700,545
233440,16083,31286,2716
234077,16085,4241,672
234336,16087,1985,208
234455,16999,14449,352
234579,17001,32059,1774
235124,17003,892,91
235166,17005,3898,314
235309,17007,16653,844
235613,17009,3404,110
235668,17011,9803,722
235941,17013,490,74
235982,17015,3334,380
236144,17017,4316,238
236256,17019,69618,4232
237054,17021,7917,703
237323,17023,3936,343
237503,17025,5068,346
237655,17027,8912,849
237948,17029,18983,1143
238328,17031,2437240,134204
240072,17033,6060,416
240263,17035,2010,193
240359,17037,28336,1968
240918,17039,4476,364
241082,17041,6768,582
241339,17043,585492,34049
242755,17045,6212,337
242919,17047,2109,150
242999,17049,26864,1255
243414,17051,4600,473
243641,17053,4338,350
243819,17055,6947,687
244085,17057,5791,608
244322,17059,556,83
244360,17061,1580,210
244469,17063,17241,1184
244843,17065,1597,190
244931,17067,2887,373
245111,17069,590,60
245147,17071,630,102
245202,17073,13075,1014
245548,17075,5711,640
245771,17077,16190,1257
246164,17079,1655,228
246278,17081,18967,932
246633,17083,4421,412
246834,17085,6214,699
247097,17087,1347,168
247178,17089,194210,13054
248366,17091,36106,2291
248975,17093,23758,2244
249541,17095,15184,991
249888,17097,317680,19832
251165,17099,37530,2598
251824,17101,3370,234
251937,17103,10724,704
252213,17105,11206,852
252534,17107,7435,552
252769,17109,8573,639
253027,17111,87858,8066
254057,17113,72469,3530
254777,17115,46084,2311
255381,17117,7970,851
255659,17119,90989,5638
256520,17121,11032,864
256854,17123,2529,244
256966,17125,2064,262
257093,17127,3036,230
257199,17129,1174,194
257293,17131,2440,263
257410,17133,8186,825
257697,17135,7067,689
257960,17137,13435,803
258261,17139,5158,323
258421,17141,13315,1037
258781,17143,103464,4366
259598,17145,4089,392
259768,17147,2410,316
259926,17149,2995,349
260088,17151,334,48
260104,17153,598,87
260158,17155,1192,119
260224,17157,10606,636
260481,17159,5218,450
260694,17161,61613,3041
261385,17163,74730,5150
262239,17165,6456,533
262455,17167,82451,4885
263296,17169,1130,149
263374,17171,590,76
263421,17173,4206,418
263591,17175,863,108
263645,17177,15067,1014
263997,17179,43264,2783
264645,17181,3476,359
264818,17183,23295,1342
265225,17185,2845,256
265354,17187,6249,369
265516,17189,7472,375
265688,17191,3032,382
265865,17193,3222,356
266036,17195,17838,1181
266438,17197,236021,15832
267657,17199,24460,1572
268115,17201,118139,6290
269083,17203,8371,754
269372,17999,204923,957
269598,18001,12132,726
269900,18003,185463,9318
270993,18005,45897,1890
271555,18007,1276,170
271639,18009,2826,240
271764,18011,26598,1601
272243,18013,1999,340
272403,18015,5042,400
272570,18017,12789,664
272848,18019,49604,2531
273514,18021,5990,470
273705,18023,10658,611
273948,18025,1349,131
274028,18027,11255,920
274363,18029,13136,936
274702,18031,11731,647
274982,18033,20984,966
275342,18035,41543,2398
275961,18037,28901,1266
276409,18039,135841,4951
277355,18041,5077,427
277552,18043,29578,1872
278061,18045,3732,309
278207,18047,5849,427
278403,18049,5119,450
278612,18051,18028,687
278909,18053,28260,1269
279334,18055,4680,538
279557,18057,152333,9354
280547,18059,22339,1455
280999,18061,9086,685
281307,18063,64409,3387
281995,18065,11369,846
282322,18067,31965,1812
282845,18069,13178,852
283176,18071,21718,1000
283551,18073,8657,745
283823,18075,5766,417
283996,18077,11531,645
284280,18079,6240,417
284458,18081,50203,3280
285149,18083,14047,843
285477,18085,37988,1970
286050,18087,14342,886
286407,18089,168185,10094
287415,18091,35649,2247
288023,18093,12104,918
288368,18095,35252,2245
288952,18097,533265,23540
290253,18099,18014,1085
290676,18101,2303,204
290775,18103,6869,567
291010,18105,52369,3151
291698,18107,13625,851
292027,18109,13014,1202
292417,18111,2284,242
292532,18113,17958,888
292884,18115,883,69
292923,18117,6940,380
293087,18119,3375,315
293243,18121,2256,272
293374,18123,5622,353
293538,18125,2006,189
293624,18127,56373,3630
294344,18129,9136,497
294569,18131,3999,310
294718,18133,11799,710
294994,18135,5444,475
295203,18137,9407,640
295472,18139,4131,371
295625,18141,123110,5847
296586,18143,6885,400
296761,18145,16198,937
297129,18147,5009,428
297310,18149,3120,305
297451,18151,15036,955
297836,18153,3929,327
297988,18155,1601,130
298046,18157,73250,3684
298810,18159,4600,316
298941,18161,1013,120
299007,18163,105146,5052
299896,18165,3606,259
300033,18167,43228,2405
300641,18169,10829,731
300944,18171,1612,129
301013,18173,15273,1186
301392,18175,4643,465
301603,18177,25712,1430
302086,18179,10790,635
302358,18181,7794,587
302591,18183,12112,682
302887,18999,106790,713
303096,19001,1923,200
303207,19003,936,108
303259,19005,3906,391
303439,19007,3674,278
303565,19009,1339,181
303666,19011,4456,548
303918,19013,63661,3174
304652,19015,6826,595
304915,19017,9195,584
305161,19019,5348,494
305395,19021,8973,540
305652,19023,2476,335
305804,19025,2395,276
305937,19027,10264,857
306289,19029,4775,462
306513,19031,4099,454
306723,19033,20349,1425
307196,19035,3961,340
307369,19037,4302,389
307543,19039,3469,171
307629,19041,7225,581
307882,19043,5460,503
308118,19045,17023,1139
308514,19047,5715,415
308705,19049,40360,2183
309202,19051,1497,170
309303,19053,1786,137
309364,19055,6229,510
309583,19057,19924,1100
309964,19059,7729,782
310270,19061,56000,2767
310979,19063,2953,289
311117,19065,5743,557
311342,19067,5430,392
311533,19069,3232,295
311689,19071,1650,190
311793,19073,3046,259
311925,19075,2957,297
312063,19077,2215,311
312223,19079,4448,382
312415,19081,4082,319
312566,19083,5046,546
312828,19085,2990,355
312992,19087,7745,483
313221,19089,3080,262
313360,19091,3409,291
313490,19093,3337,256
313610,19095,8688,488
313823,19097,4976,530
314055,19099,9158,785
314352,19101,7100,661
314634,19103,66359,3337
315336,19105,4839,514
315558,19107,1643,234
315683,19109,5820,566
315928,19111,14524,853
316261,19113,120891,5688
317177,19115,2994,213
317288,19117,4081,189
317376,19119,3682,398
317565,19121,2792,431
317774,19123,6592,553
318016,19125,16886,862
318342,19127,12631,784
318670,19129,2303,300
318809,19131,3281,314
318983,19133,1914,221
319096,19135,2236,175
319181,19137,3306,292
319325,19139,20619,934
319674,19141,5400,499
319893,19143,1607,191
319982,19145,5290,397
320188,19147,2987,292
320330,19149,10482,676
320603,19151,1800,217
320709,19153,276067,13306
321833,19155,30984,1978
322358,19157,9372,565
322605,19159,1098,143
322679,19161,2212,334
322836,19163,84229,4505
323676,19165,4939,384
323872,19167,18918,1323
324274,19169,31737,2108
324845,19171,4109,312
324995,19173,1803,140
325070,19175,4740,316
325228,19177,1490,146
325307,19179,13912,737
325630,19181,8997,917
325943,19183,6537,670
326213,19185,1427,147
326292,19187,16849,1015
326661,19189,6530,316
326822,19191,9266,620
327106,19193,48232,2626
327775,19195,1831,188
327863,19197,4249,366
328054,19999,39700,441
328202,20001,4255,376
328386,20003,1553,196
328480,20005,5701,362
328654,20007,1183,179
328745,20009,9991,928
329108,20011,4379,352
329267,20013,3624,258
329406,20015,13923,1313
329801,20017,515,66
329828,20019,466,64
329861,20021,5258,326
330040,20023,612,109
330092,20025,405,58
330130,20027,2106,257
330267,20029,2666,282
330398,20031,2720,218
330523,20033,395,68
330557,20035,11489,699
330827,20037,14352,934
331175,20039,588,98
331227,20041,5029,451
331435,20043,1574,150
331503,20045,40811,2757
332129,20047,510,81
332174,20049,309,59
332208,20051,12517,1098
332608,20053,1763,168
332690,20055,15085,1006
333072,20057,14840,786
333382,20059,8286,537
333605,20061,7727,560
333839,20063,927,119
333900,20065,560,87
333940,20067,1881,218
334063,20069,1512,235
334194,20071,339,43
334211,20073,1201,169
334296,20075,533,74
334331,20077,1862,196
334437,20079,13451,756
334758,20081,825,116
334813,20083,235,48
334835,20085,3202,258
334989,20087,2109,299
335127,20089,432,77
335173,20091,344466,18120
336330,20093,720,84
336382,20095,1650,208
336482,20097,766,94
336522,20099,7594,443
336726,20101,351,64
336759,20103,14248,1252
337186,20105,532,85
337226,20107,1239,187
337333,20109,698,110
337392,20111,12325,831
337720,20113,14765,887
338044,20115,2601,278
338193,20117,4033,362
338372,20119,934,120
338439,20121,7045,734
338708,20123,2505,239
338835,20125,13073,762
339152,20127,1212,132
339213,20129,653,79
339256,20131,4501,363
339440,20133,4746,425
339662,20135,922,130
339729,20137,1760,173
339814,20139,1592,242
339938,20141,923,135
340002,20143,826,138
340080,20145,1902,147
340149,20147,1585,226
340261,20149,9038,619
340533,20151,3158,362
340705,20153,645,104
340755,20155,22446,1570
341275,20157,1163,169
341351,20159,2495,268
341482,20161,21030,1610
341950,20163,1334,181
342045,20165,1012,93
342091,20167,1945,245
342227,20169,25929,1465
342731,20171,1510,199
342843,20173,233692,12200
343967,20175,8919,550
344216,20177,76730,4091
345015,20179,728,110
345071,20181,1995,262
345197,20183,891,131
345260,20185,599,126
345328,20187,495,63
345364,20189,1121,132
345430,20191,4261,451
345641,20193,2856,322
345787,20195,859,116
345847,20197,826,122
345908,20199,321,57
345932,20201,1516,197
346023,20203,458,84
346064,20205,3832,208
346151,20207,417,80
346192,20209,70613,3035
346883,20999,32616,529
347050,21001,4045,320
347206,21003,3229,228
347317,21005,3768,331
347462,21007,1152,138
347532,21009,14900,818
347859,21011,1500,129
347934,21013,6856,457
348132,21015,85686,3129
348832,21017,5134,373
349004,21019,21906,1230
349427,21021,13575,745
349711,21023,899,90
349755,21025,3207,178
349859,21027,2475,277
350009,21029,21995,1171
350388,21031,1691,177
350470,21033,3315,291
350610,21035,13710,845
350932,21037,25316,1689
351410,21039,646,93
351460,21041,6285,234
351579,21043,4904,404
351765,21045,3226,227
351884,21047,24363,1312
352306,21049,12302,751
352593,21051,2681,230
352701,21053,2966,179
352802,21055,1662,163
352887,21057,1107,102
352937,21059,41465,2289
353521,21061,854,109
353578,21063,258,41
353599,21065,1590,174
353682,21067,166086,8782
354701,21069,2231,224
354831,21071,7884,693
355108,21073,16516,1183
355496,21075,1395,125
355559,21077,866,83
355611,21079,1490,221
355721,21081,4222,360
355876,21083,9380,660
356156,21085,6533,440
356352,21087,1210,164
356439,21089,4950,454
356629,21091,3538,121
356677,21093,37383,2125
357253,21095,4589,384
357426,21097,4325,273
357545,21099,4170,266
357668,21101,16450,998
358041,21103,1962,209
358151,21105,875,70
358188,21107,14310,946
358514,21109,993,91
358557,21111,459514,19914
359830,21113,16792,1161
360224,21115,3821,357
360392,21117,60453,3157
361073,21119,1817,156
361165,21121,9050,458
361346,21123,1984,197
361437,21125,23288,1197
361878,21127,2494,198
361984,21129,1206,95
362033,21131,1142,99
362095,21133,3145,291
362235,21135,1206,119
362303,21137,2478,298
362434,21139,1626,140
362511,21141,8109,486
362723,21143,1478,168
362807,21145,34544,2093
363391,21147,1433,156
363484,21149,1299,167
363566,21151,25276,1751
364052,21153,1102,154
364129,21155,8701,333
364309,21157,9262,691
364602,21159,1094,133
364681,21161,6756,427
364885,21163,3494,330
365037,21165,535,53
365061,21167,4594,335
365213,21169,1328,114
365271,21171,2644,202
365382,21173,9289,531
365613,21175,1613,145
365693,21177,6437,541
365916,21179,15262,949
366261,21181,470,78
366299,21183,7043,361
366469,21185,13309,1262
366847,21187,927,116
366903,21189,413,43
366924,21191,1718,169
367023,21193,8867,556
367251,21195,17705,1184
367652,21197,1621,165
367740,21199,21246,1406
368197,21201,172,19
368204,21203,2912,194
368309,21205,8155,490
368504,21207,4752,335
368653,21209,23252,943
368966,21211,18935,1051
369370,21213,8526,386
369545,21215,1328,226
369639,21217,10461,628
369872,21219,1457,201
369970,21221,2306,226
370071,21223,786,80
370115,21225,4039,256
370237,21227,56153,2864
370924,21229,3002,240
371043,21231,4270,263
371166,21233,1727,201
371274,21235,11230,593
371496,21237,705,89
371538,21239,8234,566
371755,21999,36624,636
371928,22001,12391,1120
372299,22003,3415,303
372440,22005,40126,2397
373055,22007,2718,243
373167,22009,8058,684
373437,22011,6743,618
373689,22013,3268,220
373797,22015,36668,2537
374430,22017,101831,6142
375352,22019,81292,4715
376198,22021,1669,172
376285,22023,2115,132
376358,22025,1437,169
376439,22027,2364,217
376564,22029,3805,347
376721,22031,4614,440
376930,22033,251568,12271
378057,22035,1165,113
378120,22037,3448,243
378246,22039,6558,518
378471,22041,3671,396
378653,22043,1808,170
378736,22045,23037,1541
379201,22047,11966,554
379450,22049,2538,240
379566,22051,180453,11757
380656,22053,6259,613
380919,22055,130868,8616
381939,22057,26367,1700
382421,22059,3581,360
382559,22061,15547,1093
382953,22063,22334,1850
383444,22065,2501,198
383572,22067,5517,435
383762,22069,11655,809
384056,22071,179443,9593
385071,22073,61398,4185
385855,22075,8484,642
386129,22077,4084,330
386293,22079,45923,3118
386982,22081,1799,128
387055,22083,5593,418
387249,22085,4419,486
387445,22087,8074,692
387722,22089,21554,989
388109,22091,1143,118
388178,22093,6949,308
388334,22095,17080,719
388621,22097,22257,1600
389092,22099,10941,930
389441,22101,19084,1136
389842,22103,80199,6576
390755,22105,37041,2492
391400,22107,412,70
391444,22109,45595,2713
392118,22111,4456,348
392285,22113,9177,970
392650,22115,7202,681
392912,22117,8091,625
393167,22119,10053,765
393485,22121,12203,558
393710,22123,1525,167
393798,22125,3110,188
393882,22127,3836,262
394020,22999,55081,562
394205,23001,44696,2804
394895,23003,20882,1884
395373,23005,175812,11719
396530,23007,9636,865
396846,23009,17219,2311
397393,23011,49340,3229
398094,23013,14959,1766
398584,23015,8910,1395
399013,23017,14147,1324
399409,23019,57335,4118
400201,23021,4716,448
400400,23023,13797,976
400746,23025,12903,1193
401142,23027,9261,990
401507,23029,7315,821
401817,23031,56440,5671
402664,23999,4823,329
402789,24001,23807,1502
403227,24003,247074,14382
404310,24005,335413,19957
405481,24009,19332,1728
405933,24011,7426,611
406194,24013,51824,4218
406929,24015,27213,1761
407429,24017,33750,2616
408004,24019,9872,679
408281,24021,92488,6236
409151,24023,10643,906
409476,24025,75948,5539
410275,24027,178425,9548
411224,24029,6623,588
411488,24031,444313,27376
412624,24033,273474,15447
413687,24035,12760,1394
414131,24037,32995,2014
414610,24039,4011,361
414803,24041,17318,1453
415258,24043,60314,3450
415977,24045,36283,2481
416607,24047,19535,2173
417098,24510,302102,12356
418201,24999,57922,673
418390,25001,77116,8679
419310,25003,52368,3780
420059,25005,203446,12965
421234,25007,5709,1130
421559,25009,300360,19328
422857,25011,20378,1569
423353,25013,175265,9475
424422,25015,50922,3573
425143,25017,930320,44830
426592,25019,5009,1129
426896,25021,336592,20449
428132,25023,178045,12832
429276,25025,662595,22054
430429,25027,316770,18570
431669,25999,71477,698
431857,26001,1171,183
431955,26003,1736,242
432064,26005,38861,2452
432735,26007,10166,801
433056,26009,3908,573
433297,26011,3491,318
433463,26013,1875,174
433559,26015,11259,909
433897,26017,30070,2088
434465,26019,3359,466
434650,26021,55043,3549
435408,26023,11545,808
435750,26025,51721,2440
436384,26027,8144,745
436664,26029,8219,826
436977,26031,4307,738
437249,26033,8445,764
437542,26035,6013,572
437784,26037,16585,1350
438226,26039,3315,297
438365,26041,11920,995
438752,26043,12376,829
439074,26045,42324,2139
439675,26047,15789,1553
440128,26049,120486,7614
441060,26051,3975,412
441242,26053,3854,360
441418,26055,46727,3408
442212,26057,11276,716
442495,26059,10917,755
442796,26061,9198,874
443129,26063,10999,929
443474,26065,114656,6086
444394,26067,11539,872
444726,26069,6411,600
444986,26071,2637,342
445128,26073,24860,1369
445581,26075,51345,2966
446296,26077,113025,5598
447223,26079,4041,324
447383,26081,372282,16962
448708,26083,312,67
448742,26085,1016,151
448820,26087,19971,1703
449340,26089,4749,761
449625,26091,23766,1785
450122,26093,58733,4402
450960,26095,1458,161
451050,26097,2178,449
451236,26099,315000,19101
452463,26101,5805,559
452697,26103,21239,1615
453186,26105,9097,713
453466,26107,9619,707
453759,26109,5526,435
453958,26111,33924,1783
454474,26113,2371,299
454625,26115,35888,2311
455217,26117,13829,995
455588,26119,1742,205
455683,26121,52799,3089
456420,26123,10509,813
456760,26125,721092,39188
458187,26127,4959,484
458400,26129,5348,568
458651,26131,869,166
458744,26133,6792,432
458952,26135,1620,185
459053,26137,9544,807
459388,26139,115670,6324
460407,26141,2041,325
460551,26143,4161,537
460788,26145,79213,4180
461567,26147,40959,3041
462267,26149,19520,1132
462665,26151,8583,806
462968,26153,1781,216
463074,26155,13994,1150
463455,26157,9244,816
463759,26159,16368,1284
464195,26161,159215,8227
465212,26163,661250,32575
466640,26165,12652,876
466987,26999,174596,805
467199,27001,3552,400
467376,27003,124985,8012
468359,27005,10798,924
468696,27007,15425,1212
469123,27009,15991,928
469470,27011,1432,186
469571,27013,35276,1977
470182,27015,13664,801
470507,27017,7391,673
470784,27019,40024,2527
471363,27021,6750,841
471666,27023,5091,387
471861,27025,14361,1270
472278,27027,17973,1346
472713,27029,2351,215
472820,27031,2145,291
472950,27033,3784,342
473121,27035,27612,2205
473712,27037,183470,10702
474805,27039,4668,413
474992,27041,17718,1354
475472,27043,3713,407
475678,27045,4565,574
475949,27047,11208,791
476259,27049,20405,1270
476685,27051,1448,197
476798,27053,912186,40565
478254,27055,4278,406
478448,27057,4709,594
478694,27059,9717,900
479039,27061,13326,1142
479441,27063,4151,297
479585,27065,3178,309
479745,27067,19123,1400
480184,27069,1182,147
480257,27071,3752,387
480441,27073,1779,204
480545,27075,3283,309
480699,27077,1407,155
480785,27079,7735,705
481077,27081,1236,193
481185,27083,12617,808
481516,27085,15419,940
481880,27087,1759,101
481935,27089,1512,249
482055,27091,7582,618
482340,27093,6421,576
482607,27095,8908,707
482906,27097,7916,888
483238,27099,13809,817
483559,27101,2622,283
483708,27103,14111,663
483979,27105,8959,591
484229,27107,1322,180
484336,27109,100499,3594
485062,27111,18517,1716
485563,27113,9538,375
485745,27115,6927,590
485993,27117,3127,328
486164,27119,9215,741
486450,27121,4196,373
486612,27123,304348,13549
487789,27125,600,95
487837,27127,5730,540
488071,27129,4025,461
488271,27131,25301,1529
488766,27133,2722,288
488901,27135,6816,410
489101,27137,88309,5395
490012,27139,50693,3426
490722,27141,23074,2170
491253,27143,3309,372
491430,27145,85227,4410
492273,27147,20521,1002
492680,27149,4313,305
492837,27151,2976,307
492995,27153,5644,559
493211,27155,738,117
493270,27157,5296,555
493523,27159,3806,396
493713,27161,4478,458
493924,27163,81632,6032
494793,27165,3686,296
494935,27167,1657,154
495009,27169,23291,1155
495412,27171,39381,3413
496087,27173,3920,324
496247,27999,86109,681
496444,28001,10394,764
496758,28003,13016,788
497053,28005,1528,181
497142,28007,4532,352
497305,28009,1070,58
497336,28011,8689,687
497599,28013,2069,255
497722,28015,677,127
497786,28017,5520,325
497949,28019,1462,124
498017,28021,2156,105
498070,28023,2093,226
498179,28025,4420,336
498333,28027,6060,517
498557,28029,6068,437
498763,28031,4100,328
498918,28033,56215,3012
499534,28035,33618,1717
500048,28037,1566,118
500100,28039,3625,338
500264,28041,936,127
500338,28043,8388,554
500563,28045,9200,723
500822,28047,75069,4215
501599,28049,99108,5118
502417,28051,2280,247
502539,28053,1522,139
502624,28055,91,17
502627,28057,5309,369
502808,28059,45200,2299
503355,28061,4298,205
503465,28063,547,57
503499,28065,2778,130
503579,28067,22910,1302
503987,28069,1388,110
504050,28071,18093,1289
504461,28073,18834,1442
504910,28075,29132,1832
505424,28077,1873,174
505520,28079,4821,305
505665,28081,47087,2492
506292,28083,12060,670
506558,28085,11293,809
506871,28087,21746,1449
507342,28089,52439,3201
508014,28091,7391,551
508253,28093,7374,441
508444,28095,7689,588
508695,28097,2062,203
508810,28099,10056,509
509013,28101,3392,315
509170,28103,1641,185
509264,28105,13385,913
509600,28107,8582,583
509818,28109,8069,806
510117,28111,1836,138
510179,28113,12218,913
510503,28115,12745,513
510712,28117,5489,482
510909,28119,591,97
510961,28121,55810,3736
511719,28123,10695,488
511929,28125,752,106
511984,28127,5679,418
512162,28129,1968,153
512249,28131,3191,269
512375,28133,5382,427
512589,28135,1674,159
512669,28137,3754,386
512842,28139,6195,378
513018,28141,4905,369
513199,28143,5891,189
513293,28145,10485,504
513498,28147,2046,210
513613,28149,15619,999
513949,28151,12974,1088
514340,28153,4268,370
514502,28155,1706,154
514592,28157,1264,127
514664,28159,5291,376
514851,28161,2547,155
514928,28163,4087,365
515112,28999,24143,397
515250,29001,8324,578
515498,29003,1677,284
515621,29005,1159,185
515721,29007,6806,508
515963,29009,12589,721
516277,29011,2371,235
516374,29013,2937,355
516534,29015,2180,383
516702,29017,1483,210
516802,29019,78049,4659
517618,29021,44179,2102
518233,29023,14097,1032
518602,29025,1317,156
518686,29027,11973,726
518991,29029,13743,1447
519436,29031,37774,2307
520031,29033,1603,203
520130,29035,1095,157
520199,29037,21826,2005
520713,29039,2402,278
520836,29041,1276,205
520935,29043,15145,1872
521452,29045,1076,152
521535,29047,109650,5229
522401,29049,2715,355
522577,29051,36498,2207
523151,29053,3709,374
523338,29055,5563,487
523552,29057,1177,138
523621,29059,1804,293
523760,29061,999,153
523842,29063,2180,216
523958,29065,3515,325
524104,29067,2140,216
524210,29069,6524,646
524441,29071,36834,2627
525093,29073,5386,399
525277,29075,1828,184
525376,29077,162713,8503
526396,29079,1962,224
526507,29081,1816,199
526603,29083,6753,574
526851,29085,852,134
526931,29087,902,129
527001,29089,2493,181
527095,29091,12607,1108
527504,29093,1876,218
527614,29095,344993,18118
528843,29097,51908,2788
529537,29099,40761,3905
530239,29101,10644,905
530581,29103,610,93
530626,29105,11345,747
530918,29107,6568,694
531219,29109,6634,712
531497,29111,2036,179
531597,29113,9547,939
531938,29115,2985,288
532070,29117,5020,415
532266,29119,5761,313
532410,29121,3707,345
532572,29123,3237,259
532689,29125,976,128
532755,29127,11671,786
533050,29129,386,70
533089,29131,6558,674
533354,29133,2163,235
533471,29135,3004,327
533618,29137,1345,180
533712,29139,2206,244
533832,29141,3104,494
534030,29143,6066,385
534186,29145,21408,1210
534578,29147,5874,459
534808,29149,1663,188
534915,29151,4292,268
535046,29153,853,161
535131,29155,3951,330
535276,29157,9584,516
535498,29159,17809,1003
535866,29161,14334,1053
536239,29163,4163,391
536418,29165,43759,2459
537060,29167,7539,588
537307,29169,8500,665
537558,29171,603,90
537600,29173,2680,215
537716,29175,7718,532
537964,29177,2964,339
538137,29179,1397,136
538208,29181,2315,316
538315,29183,137412,8664
539313,29185,1252,166
539393,29186,5305,387
539574,29187,18752,1419
540006,29189,617583,31044
541325,29195,7687,474
541525,29197,389,71
541559,29199,887,139
541637,29201,14122,1068
542020,29203,1239,163
542110,29205,1063,158
542190,29207,8815,670
542442,29209,5190,690
542700,29211,2046,98
542756,29213,24994,1834
543235,29215,4376,452
543435,29217,5742,466
543638,29219,6823,617
543876,29221,3207,350
544020,29223,1952,234
544110,29225,6477,678
544377,29227,169,47
544403,29229,3484,399
544596,29510,204516,9861
545661,29999,61610,646
545860,30001,2643,387
546043,30003,2399,193
546144,30005,1016,126
546219,30007,860,170
546300,30009,2179,414
546495,30011,125,31
546506,30013,30486,2447
547152,30015,729,149
547229,30017,3806,426
547434,30019,536,72
547468,30021,2590,307
547622,30023,2709,256
547737,30025,997,133
547808,30027,3408,426
