"fips', 'county_zip_file_name', 'roads_length', 'intersections","NA","NA","NA"
"08083","tl_2019_08083_roads.zip","4118677.06323592","7357"
"08085","tl_2019_08085_roads.zip","4164442.50890744","6043"
"08087","tl_2019_08087_roads.zip","3100779.66449029","3967"
"08089","tl_2019_08089_roads.zip","2378690.87036191","4490"
"08091","tl_2019_08091_roads.zip","1126122.03983083","2409"
"08093","tl_2019_08093_roads.zip","5610200.53203322","7078"
"08095","tl_2019_08095_roads.zip","1649580.35630048","1018"
"08097","tl_2019_08097_roads.zip","1348158.72497286","2382"
"08099","tl_2019_08099_roads.zip","3235772.165266","3002"
"08101","tl_2019_08101_roads.zip","7406618.27460156","15923"
"08103","tl_2019_08103_roads.zip","4838947.932737","4682"
"08105","tl_2019_08105_roads.zip","2101281.46788826","2941"
"08107","tl_2019_08107_roads.zip","4018506.85010412","6791"
"08109","tl_2019_08109_roads.zip","4513177.28370172","4757"
"08111","tl_2019_08111_roads.zip","521008.217670511","590"
"08113","tl_2019_08113_roads.zip","3157894.39005222","3620"
"08115","tl_2019_08115_roads.zip","1245095.62493377","752"
"08117","tl_2019_08117_roads.zip","1984953.8109728","6545"
"08119","tl_2019_08119_roads.zip","2537947.55120539","6773"
"08121","tl_2019_08121_roads.zip","4190360.78782424","1781"
"08123","tl_2019_08123_roads.zip","9431226.81795156","17452"
"08125","tl_2019_08125_roads.zip","4722545.11782339","5296"
"09001","tl_2019_09001_roads.zip","7809689.87898259","29745"
"09003","tl_2019_09003_roads.zip","7309760.00414974","25064"
"09005","tl_2019_09005_roads.zip","4252943.75707615","9437"
"09007","tl_2019_09007_roads.zip","2418468.855791","7148"
"09009","tl_2019_09009_roads.zip","6636327.35123427","24671"
"09011","tl_2019_09011_roads.zip","3842466.93897704","10752"
"09013","tl_2019_09013_roads.zip","2189886.28000289","4487"
"09015","tl_2019_09015_roads.zip","2251229.51749357","4441"
"10001","tl_2019_10001_roads.zip","3972827.43101765","10799"
"10003","tl_2019_10003_roads.zip","4396029.61747483","18964"
"10005","tl_2019_10005_roads.zip","7693779.43310593","25610"
"11001","tl_2019_11001_roads.zip","1875276.00076819","9331"
"12001","tl_2019_12001_roads.zip","7282191.02979788","35108"
"12003","tl_2019_12003_roads.zip","2095521.25928758","4815"
"12005","tl_2019_12005_roads.zip","4579025.59877002","12217"
"12007","tl_2019_12007_roads.zip","1357459.17586509","3961"
"12009","tl_2019_12009_roads.zip","6925051.21546511","23312"
"12011","tl_2019_12011_roads.zip","10077033.152673","52272"
"12013","tl_2019_12013_roads.zip","2077380.24818938","5067"
"12015","tl_2019_12015_roads.zip","4586697.1198723","16710"
"12017","tl_2019_12017_roads.zip","5523842.42442559","20907"
"12019","tl_2019_12019_roads.zip","4282613.6755489","16033"
"12021","tl_2019_12021_roads.zip","6021595.90566969","13996"
"12023","tl_2019_12023_roads.zip","4432915.63817932","16936"
"12027","tl_2019_12027_roads.zip","1878490.94032063","6967"
"12029","tl_2019_12029_roads.zip","3646950.98899562","7643"
"12031","tl_2019_12031_roads.zip","7473812.85369989","30285"
"12033","tl_2019_12033_roads.zip","4414119.14918981","16558"
"12035","tl_2019_12035_roads.zip","2027869.66568628","5757"
"12037","tl_2019_12037_roads.zip","2261471.82191205","7261"
"12039","tl_2019_12039_roads.zip","2246390.30541613","7078"
"12041","tl_2019_12041_roads.zip","1522013.57775833","2708"
"12043","tl_2019_12043_roads.zip","1833951.03681153","4669"
"12045","tl_2019_12045_roads.zip","2529916.2570206","6079"
"12047","tl_2019_12047_roads.zip","1740616.05538346","3146"
"12049","tl_2019_12049_roads.zip","1365458.0725233","2701"
"12051","tl_2019_12051_roads.zip","3683527.31962834","7591"
"12053","tl_2019_12053_roads.zip","4047110.89247939","11568"
"12055","tl_2019_12055_roads.zip","4853541.41863067","17027"
"12057","tl_2019_12057_roads.zip","11495885.6555128","41540"
"12059","tl_2019_12059_roads.zip","1525258.96455008","1960"
"12061","tl_2019_12061_roads.zip","3181525.20955223","16727"
"12063","tl_2019_12063_roads.zip","3887170.37550234","6852"
"12065","tl_2019_12065_roads.zip","1671078.78051428","3624"
"12067","tl_2019_12067_roads.zip","2723498.97315503","7845"
"12069","tl_2019_12069_roads.zip","6008791.23940276","18591"
"12071","tl_2019_12071_roads.zip","10792466.4988546","37578"
"12073","tl_2019_12073_roads.zip","3868693.85706416","12809"
"12075","tl_2019_12075_roads.zip","5389161.55946793","14236"
"12077","tl_2019_12077_roads.zip","2288614.82499925","4243"
"12079","tl_2019_12079_roads.zip","3137519.67527673","8061"
"12081","tl_2019_12081_roads.zip","4770920.09835623","20677"
"12083","tl_2019_12083_roads.zip","10856510.0230189","35778"
"12085","tl_2019_12085_roads.zip","2625195.56968321","7238"
"12086","tl_2019_12086_roads.zip","13165087.9228603","62687"
"12087","tl_2019_12087_roads.zip","1461819.54588542","7684"
"12089","tl_2019_12089_roads.zip","2700323.04466587","8142"
"12091","tl_2019_12091_roads.zip","4993940.33499508","15283"
"12093","tl_2019_12093_roads.zip","1792731.0836012","3800"
"12095","tl_2019_12095_roads.zip","9843279.23360694","41927"
"12097","tl_2019_12097_roads.zip","5590828.67298888","16112"
"12099","tl_2019_12099_roads.zip","10414962.9065986","37632"
"12101","tl_2019_12101_roads.zip","6035423.76821241","20719"
"12103","tl_2019_12103_roads.zip","7303556.6433121","39546"
"12105","tl_2019_12105_roads.zip","10551109.7759615","41264"
"12107","tl_2019_12107_roads.zip","3698768.34257287","12457"
"12109","tl_2019_12109_roads.zip","3099197.74027982","9034"
"12111","tl_2019_12111_roads.zip","5198194.04796988","24615"
"12113","tl_2019_12113_roads.zip","6212735.43791473","15698"
"12115","tl_2019_12115_roads.zip","5728068.07591594","21987"
"12117","tl_2019_12117_roads.zip","4071100.7744135","18139"
