,zip,cbp_total_employees,cbp_total_establishments
5556,17235,88,19
5557,17236,2606,158
5558,17237,142,16
5559,17238,126,19
5560,17239,18,6
5561,17240,372,69
5562,17241,2143,177
5563,17243,485,38
5564,17244,122,24
5565,17246,8,3
5566,17247,13,5
5567,17250,16,4
5568,17251,34,6
5569,17252,321,43
5570,17254,102,14
5571,17255,101,19
5572,17256,928,7
5573,17257,7146,445
5574,17260,118,17
5575,17261,300,9
5576,17262,93,16
5577,17263,26,7
5578,17264,93,29
5579,17265,5,3
5580,17266,91,7
5581,17267,282,22
5582,17268,6776,519
5583,17271,31,8
5584,17272,52,6
5585,17301,718,58
5586,17302,66,26
5587,17303,55,10
5588,17304,521,38
5589,17306,18,7
5590,17307,804,94
5591,17309,207,32
5592,17310,14,3
5593,17311,41,13
5594,17313,2627,163
5595,17314,1506,80
5596,17315,3062,284
5597,17316,1314,125
5598,17317,20,6
5599,17318,841,27
5600,17319,1770,167
5601,17320,1745,90
5602,17321,191,30
5603,17322,327,46
5604,17323,10,3
5605,17324,593,47
5606,17325,12717,854
5607,17327,1666,139
5608,17329,111,34
5609,17331,26451,1225
5610,17339,3889,152
5611,17340,2012,177
5612,17342,36,8
5613,17343,13,3
5614,17344,535,46
5615,17345,2743,128
5616,17347,641,48
5617,17349,1760,133
5618,17350,5036,231
5619,17352,59,15
5620,17353,310,23
5621,17355,8,3
5622,17356,4185,344
5623,17358,23,3
5624,17360,650,69
5625,17361,2712,203
5626,17362,2172,192
5627,17363,749,134
5628,17364,690,63
5629,17365,501,58
5630,17366,113,37
5631,17368,1519,114
5632,17370,708,57
5633,17371,139,16
5634,17372,396,45
5635,17375,432,3
5636,17401,5736,405
5637,17402,29553,1244
5638,17403,19203,850
5639,17404,18158,858
5640,17405,6871,50
5641,17406,13244,424
5642,17407,234,36
5643,17408,9447,335
5644,17501,1363,95
5645,17502,393,40
5646,17503,84,6
5647,17505,1229,103
5648,17506,490,19
5649,17507,518,19
5650,17508,591,28
5651,17509,867,114
5652,17512,4306,300
5653,17516,1215,59
5654,17517,6525,298
5655,17518,108,19
5656,17519,2734,151
5657,17520,3966,145
5658,17521,51,7
5659,17522,14946,930
5660,17527,2837,217
5661,17528,53,9
5662,17529,1369,167
5663,17532,331,43
5664,17533,27,3
5665,17534,906,63
5666,17535,709,83
5667,17536,270,43
5668,17537,35,5
5669,17538,1466,121
5670,17540,6158,286
5671,17543,16980,940
5672,17545,8995,625
5673,17547,2171,88
5674,17549,42,5
5675,17550,107,10
5676,17551,1031,107
5677,17552,5909,384
5678,17554,3217,138
5679,17555,992,146
5680,17557,9681,485
5681,17560,341,57
5682,17562,1261,161
5683,17563,319,57
5684,17565,152,28
5685,17566,3810,347
5686,17567,764,21
5687,17568,58,6
5688,17569,583,104
5689,17570,299,11
5690,17572,1797,157
5691,17576,625,20
5692,17578,1248,124
5693,17579,1091,148
5694,17580,20,5
5695,17581,235,26
5696,17582,233,34
5697,17584,3726,219
5698,17585,42,4
5699,17601,49483,2144
5700,17602,19848,1178
5701,17603,28245,1492
5702,17604,9565,53
5703,17605,5937,18
5704,17606,93,10
5705,17607,55,3
5706,17608,494,11
5707,17701,26327,1309
5708,17702,1505,185
5709,17703,238,4
5710,17721,241,20
5711,17724,1048,117
5712,17728,503,69
