,zip,cbp_total_employees,cbp_total_establishments
15961,45621,31,4
15962,45622,22,5
15963,45623,154,20
15964,45628,330,40
15965,45629,875,31
15966,45630,22,4
15967,45631,7178,427
15968,45634,289,13
15969,45636,193,3
15970,45638,4126,341
15971,45640,5713,414
15972,45644,212,31
15973,45645,136,20
15974,45646,49,11
15975,45647,74,16
15976,45648,1039,97
15977,45651,1131,96
15978,45652,283,26
15979,45653,344,52
15980,45654,111,8
15981,45656,658,78
15982,45657,58,12
15983,45658,72,12
15984,45659,28,8
15985,45660,1147,99
15986,45661,3295,123
15987,45662,13428,750
15988,45663,433,62
15989,45669,1625,121
15990,45672,80,10
15991,45673,11,3
15992,45674,760,20
15993,45678,15,4
15994,45679,580,46
15995,45680,3544,199
15996,45681,18,7
15997,45682,87,20
15998,45684,27,10
15999,45685,49,11
16000,45686,136,16
16001,45690,3777,246
16002,45692,2084,118
16003,45693,1951,159
16004,45694,1954,183
16005,45695,31,6
16006,45696,36,6
16007,45697,471,63
16008,45701,10642,719
16009,45710,394,67
16010,45711,29,10
16011,45712,45,8
16012,45714,2451,192
16013,45715,577,69
16014,45716,13,3
16015,45719,19,4
16016,45720,41,4
16017,45723,238,40
16018,45724,50,6
16019,45727,189,6
16020,45729,78,12
16021,45732,255,32
16022,45734,58,8
16023,45735,76,11
16024,45740,29,5
16025,45741,57,7
16026,45742,284,34
16027,45743,31,10
16028,45744,214,40
16029,45745,49,14
16030,45746,23,5
16031,45750,18142,825
16032,45760,400,49
16033,45761,10,7
16034,45764,1317,112
16035,45766,25,4
16036,45767,93,21
16037,45768,154,24
16038,45769,1490,135
16039,45770,11,4
16040,45771,227,38
16041,45772,95,11
16042,45773,223,15
16043,45775,52,13
16044,45776,51,16
16045,45778,27,6
16046,45779,70,7
16047,45780,607,50
16048,45782,52,4
16049,45783,103,13
16050,45784,344,35
16051,45786,623,53
16052,45788,56,9
16053,45801,12772,543
16054,45802,1470,44
16055,45804,11005,387
16056,45805,9196,570
16057,45806,2285,169
16058,45807,2943,226
16059,45808,250,19
16060,45809,23,5
16061,45810,2706,94
16062,45812,84,17
16063,45813,351,44
16064,45814,275,36
16065,45816,19,4
16066,45817,4025,163
16067,45819,11,4
16068,45820,15,5
16069,45821,50,8
16070,45822,8427,493
16071,45826,146,14
16072,45827,375,20
16073,45828,3335,166
16074,45830,734,68
16075,45831,389,43
16076,45832,225,41
16077,45833,3940,241
16078,45836,87,14
16079,45837,17,5
16080,45839,889,14
16081,45840,38063,1375
16082,45841,38,8
16083,45843,399,34
16084,45844,245,55
16085,45845,1174,87
16086,45846,1746,120
16087,45848,195,23
16088,45849,59,13
16089,45850,221,38
16090,45851,441,17
16091,45853,1659,57
16092,45854,30,7
16093,45855,16,5
16094,45856,1460,94
16095,45858,1316,29
16096,45860,782,60
16097,45862,73,13
16098,45863,531,22
16099,45864,41,5
16100,45865,3710,154
16101,45867,32,15
16102,45868,9,5
16103,45869,5340,98
16104,45870,31,4
16105,45871,520,27
16106,45872,1909,66
16107,45873,241,30
16108,45874,159,20
16109,45875,3869,280
16110,45876,876,41
16111,45877,461,46
16112,45879,2220,139
16113,45880,481,36
16114,45881,51,10
16115,45882,479,51
16116,45883,1789,98
16117,45885,5890,270
16118,45886,19,4
16119,45887,724,59
16120,45888,45,3
16121,45889,743,22
16122,45890,124,10
16123,45891,8516,378
16124,45893,34,5
16125,45894,153,8
16126,45895,4785,375
16127,45896,110,23
16128,45898,89,13
16129,46001,1587,175
16130,46011,5610,197
16131,46012,4623,297
16132,46013,9671,427
16133,46014,154,5
16134,46015,29,8
16135,46016,5454,446
16136,46017,713,91
16137,46018,89,7
16138,46030,427,70
16139,46031,264,38
16140,46032,45993,2505
16141,46033,5121,638
16142,46034,1133,146
16143,46035,42,13
16144,46036,3167,186
16145,46037,12558,921
16146,46038,18416,1204
16147,46039,5,7
16148,46040,1405,215
16149,46041,9565,470
16150,46044,187,23
16151,46048,32,9
16152,46049,29,7
16153,46050,87,24
16154,46051,503,47
16155,46052,10491,555
16156,46055,1784,209
16157,46056,151,27
16158,46057,68,16
16159,46058,332,22
16160,46060,20145,1362
16161,46061,213,25
16162,46062,3654,474
16163,46063,389,6
16164,46064,3078,292
16165,46065,625,79
16166,46068,272,39
16167,46069,883,130
16168,46070,186,18
16169,46071,344,57
16170,46072,3978,232
16171,46074,11387,699
16172,46075,8399,189
16173,46076,124,16
16174,46077,8424,834
16175,46082,301,20
16176,46102,12,3
16177,46103,16,3
16178,46104,63,9
16179,46105,245,35
16180,46106,930,137
16181,46107,1858,157
16182,46110,231,10
16183,46111,15,3
16184,46112,12671,814
16185,46113,2430,168
16186,46115,105,23
16187,46117,18,8
16188,46118,1724,80
16189,46120,1057,112
16190,46121,222,44
16191,46122,5421,331
16192,46123,12864,843
16193,46124,4957,256
16194,46126,488,60
16195,46127,57,3
16196,46128,118,27
16197,46130,204,39
16198,46131,13038,713
16199,46133,25,10
16200,46135,9909,449
16201,46140,18139,905
16202,46142,13227,999
16203,46143,18780,1021
16204,46144,20,5
16205,46146,34,4
16206,46147,470,43
16207,46148,814,112
16208,46149,262,41
16209,46150,76,13
16210,46151,4981,577
16211,46154,69,8
16212,46155,71,4
16213,46156,350,35
16214,46157,394,46
16215,46158,7268,478
16216,46160,549,105
16217,46161,1277,52
16218,46162,59,4
16219,46163,1276,199
16220,46164,199,33
16221,46165,167,28
16222,46166,109,20
16223,46167,1126,114
16224,46168,26852,891
16225,46171,97,14
16226,46172,229,40
16227,46173,3485,285
16228,46175,70,9
16229,46176,13185,666
16230,46180,107,17
16231,46181,715,99
16232,46182,178,27
16233,46183,30,5
16234,46184,1474,178
16235,46186,144,27
16236,46201,5757,365
16237,46202,38008,1164
16238,46203,13955,820
16239,46204,45040,1756
16240,46205,6526,511
16241,46206,1719,31
16242,46207,200,4
16243,46208,8833,400
16244,46209,175,3
16245,46210,18,3
16246,46214,7610,374
16247,46216,3529,151
16248,46217,8170,566
16249,46218,9676,478
16250,46219,29997,1007
16251,46220,16860,1521
16252,46221,8858,321
16253,46222,14785,557
16254,46224,7450,447
16255,46225,11726,404
16256,46226,11088,685
16257,46227,20299,1131
16258,46228,825,155
16259,46229,6326,474
16260,46230,40,7
16261,46231,5599,149
16262,46234,3944,293
16263,46235,3779,144
16264,46236,8645,524
16265,46237,14086,633
16266,46239,4755,420
16267,46240,40286,1635
16268,46241,41170,1028
16269,46242,864,18
16270,46244,188,9
16271,46247,26,8
16272,46249,214,13
16273,46250,27119,1344
16274,46251,175,4
16275,46253,29,7
16276,46254,11902,718
16277,46255,347,4
16278,46256,20208,783
16279,46259,801,142
16280,46260,16494,799
16281,46268,48173,1450
16282,46277,113,3
16283,46278,16054,497
16284,46280,12567,273
16285,46282,745,20
16286,46285,409,13
16287,46290,5521,144
16288,46301,23,12
16289,46302,45,6
16290,46303,1906,214
16291,46304,12376,651
16292,46307,17058,1302
16293,46308,79,15
16294,46310,2319,262
16295,46311,6005,451
16296,46312,11766,390
16297,46319,4273,373
16298,46320,11004,366
16299,46321,15507,693
16300,46322,8933,723
16301,46323,4663,283
16302,46324,5498,323
16303,46325,54,9
16304,46327,3493,183
16305,46340,78,16
16306,46341,1007,146
16307,46342,7692,500
16308,46345,504,27
16309,46347,553,75
16310,46348,66,23
16311,46349,240,33
16312,46350,13773,882
16313,46352,122,9
16314,46355,13,4
16315,46356,2732,312
16316,46360,18975,1050
16317,46361,100,15
16318,46365,10,8
16319,46366,519,66
16320,46368,13556,698
16321,46371,502,44
16322,46372,69,8
16323,46373,3607,363
16324,46374,28,7
16325,46375,10991,772
16326,46376,57,7
16327,46377,37,5
16328,46381,6,4
16329,46382,83,15
16330,46383,23969,1390
16331,46384,90,12
16332,46385,4426,576
16333,46390,564,63
16334,46391,917,92
16335,46392,1039,102
16336,46393,34,8
16337,46394,3747,176
16338,46401,476,10
16339,46402,7984,145
16340,46403,2174,154
16341,46404,1657,109
16342,46405,1020,141
16343,46406,4792,139
16344,46407,566,84
16345,46408,2236,220
16346,46409,508,70
16347,46410,27753,1570
16348,46411,39,7
16349,46501,586,51
16350,46502,133,5
16351,46504,695,60
16352,46506,5335,254
16353,46507,5861,188
16354,46508,17,3
16355,46510,351,38
16356,46511,1134,84
16357,46513,402,7
16358,46514,30655,1088
16359,46515,5273,50
16360,46516,18012,844
16361,46517,11096,500
16362,46524,338,38
16363,46526,23916,822
16364,46527,510,13
16365,46528,10011,441
16366,46530,7227,614
16367,46531,29,6
16368,46532,190,23
16369,46534,2312,193
16370,46536,575,62
16371,46537,81,15
16372,46538,716,91
16373,46539,347,35
16374,46540,15607,379
16375,46542,1767,95
16376,46543,2477,84
16377,46544,11219,543
16378,46545,24127,1127
16379,46546,398,15
16380,46550,6992,392
16381,46552,1877,100
16382,46553,3081,90
16383,46554,566,52
16384,46555,850,99
16385,46556,15700,37
16386,46561,1551,187
16387,46562,1859,81
16388,46563,9547,588
16389,46565,3605,318
16390,46567,3250,262
16391,46570,95,11
16392,46571,4354,118
16393,46573,2976,130
16394,46574,1477,95
16395,46580,19412,748
16396,46581,1774,34
16397,46582,4948,258
16398,46590,1649,87
16399,46595,48,5
16400,46601,12903,506
16401,46613,1689,148
16402,46614,8217,480
16403,46615,2130,230
16404,46616,337,52
16405,46617,5317,295
16406,46619,4712,271
16407,46624,640,15
16408,46628,14440,567
16409,46634,216,14
16410,46635,3074,191
16411,46637,4390,289
16412,46660,4,6
16413,46680,179,5
16414,46701,3076,127
16415,46702,54,20
16416,46703,10292,626
16417,46704,83,4
16418,46705,2342,63
16419,46706,9598,537
16420,46710,1488,95
16421,46711,3582,175
16422,46714,8257,452
16423,46721,4300,87
16424,46723,1691,132
16425,46725,9634,513
16426,46730,136,17
16427,46731,85,14
16428,46732,213,32
16429,46733,6971,453
16430,46737,3058,167
16431,46738,2054,130
16432,46740,725,38
16433,46741,1656,159
16434,46742,700,68
16435,46743,457,59
16436,46745,220,36
16437,46746,1799,77
16438,46747,381,31
16439,46748,657,112
16440,46750,10284,624
16441,46755,7588,379
16442,46759,96,5
16443,46760,76,14
16444,46761,3673,252
16445,46763,469,46
16446,46764,70,15
16447,46765,716,103
16448,46766,23,5
16449,46767,4406,133
16450,46770,1849,68
16451,46772,817,48
16452,46773,536,54
16453,46774,4391,357
16454,46776,784,36
16455,46777,1432,91
16456,46779,71,25
16457,46781,43,11
16458,46783,6586,169
16459,46784,297,35
16460,46785,678,29
16461,46786,161,7
16462,46787,827,54
16463,46788,275,55
16464,46789,51,8
16465,46791,144,18
16466,46792,821,72
16467,46793,1440,85
16468,46794,266,13
16469,46795,470,80
16470,46796,18,6
16471,46797,2546,105
16472,46798,371,20
16473,46799,59,11
16474,46801,1772,16
16475,46802,16649,736
16476,46803,8881,395
16477,46804,28604,1164
16478,46805,16675,815
16479,46806,2714,224
16480,46807,1266,163
16481,46808,17981,694
16482,46809,11207,382
16483,46814,1834,210
16484,46815,5628,491
16485,46816,2023,160
16486,46818,13240,587
16487,46819,1237,82
16488,46825,22356,1137
16489,46835,6636,466
16490,46845,8558,423
16491,46850,29,3
16492,46885,44,5
16493,46895,345,5
16494,46896,5,3
16495,46898,44,7
16496,46899,24,7
16497,46901,12971,830
16498,46902,16898,797
16499,46903,229,16
16500,46904,1211,27
16501,46910,530,54
16502,46911,155,22
16503,46913,25,7
16504,46914,413,33
16505,46915,106,25
16506,46916,12,3
16507,46917,119,26
16508,46919,235,27
16509,46920,32,14
16510,46923,3735,171
16511,46926,120,27
16512,46928,515,64
16513,46929,628,98
16514,46931,29,6
16515,46932,223,37
16516,46933,3096,124
16517,46936,415,77
16518,46938,158,23
16519,46939,283,23
16520,46940,268,29
16521,46941,77,14
16522,46943,70,7
16523,46945,28,6
16524,46947,12103,535
16525,46950,36,8
16526,46951,88,11
16527,46952,10807,515
16528,46953,11110,416
16529,46957,82,5
16530,46958,53,10
16531,46960,185,15
16532,46962,2886,177
16533,46965,52,3
16534,46970,5651,433
16535,46974,130,31
16536,46975,4211,359
16537,46978,183,25
16538,46979,338,67
16539,46982,447,40
16540,46984,13,4
16541,46985,85,24
16542,46986,270,33
16543,46987,133,24
16544,46988,53,13
16545,46989,1894,49
16546,46990,156,13
16547,46991,358,19
16548,46992,7272,456
16549,46994,173,38
16550,46996,3166,192
16551,47001,2495,189
16552,47003,83,12
16553,47006,9695,386
16554,47011,15,5
16555,47012,1441,197
16556,47016,35,13
16557,47017,11,11
16558,47018,575,68
16559,47019,9,3
16560,47020,885,11
16561,47021,65,6
16562,47022,112,34
16563,47023,63,19
16564,47024,73,24
16565,47025,9249,528
16566,47030,82,10
16567,47031,878,76
16568,47032,84,27
16569,47034,124,15
16570,47035,44,4
16571,47036,199,31
16572,47037,620,75
16573,47038,87,9
16574,47040,865,64
16575,47041,931,88
16576,47042,849,103
16577,47043,590,100
16578,47060,600,90
16579,47102,1787,61
16580,47106,865,64
16581,47108,359,27
16582,47110,60,3
16583,47111,2315,225
16584,47112,6218,447
16585,47114,1,3
16586,47115,318,27
16587,47116,43,5
16588,47117,1309,35
16589,47118,189,38
16590,47119,2309,281
16591,47120,108,10
16592,47122,1046,164
16593,47124,278,64
16594,47125,106,27
16595,47126,296,53
16596,47129,11621,598
16597,47130,28566,1147
16598,47131,283,31
16599,47135,56,12
16600,47136,285,48
16601,47137,789,22
16602,47138,163,23
16603,47140,198,39
16604,47141,36,16
16605,47142,121,10
16606,47143,291,46
16607,47145,34,17
16608,47146,70,5
16609,47147,240,15
16610,47150,25179,1309
16611,47151,330,18
16612,47161,252,35
16613,47162,121,16
16614,47163,43,15
16615,47164,379,52
16616,47165,215,45
16617,47166,135,21
16618,47167,3849,344
16619,47170,5007,320
16620,47172,5295,335
16621,47175,4,4
16622,47177,61,7
16623,47201,36307,1234
16624,47202,612,25
16625,47203,4557,365
16626,47220,1451,141
16627,47223,40,10
16628,47224,54,5
16629,47227,50,12
16630,47229,1105,40
16631,47230,56,12
16632,47231,83,11
16633,47232,101,27
16634,47234,117,22
16635,47235,47,17
16636,47240,11159,583
16637,47243,1388,66
16638,47244,11,9
16639,47246,638,68
16640,47247,56,7
16641,47250,9711,547
16642,47260,129,21
16643,47263,72,8
16644,47264,82,14
16645,47265,5781,343
16646,47272,349,31
16647,47273,79,15
16648,47274,18949,780
16649,47280,292,18
16650,47281,39,11
16651,47282,42,13
16652,47283,213,28
16653,47302,6454,394
16654,47303,13435,676
16655,47304,10328,657
16656,47305,5310,231
16657,47306,162,14
16658,47307,550,9
16659,47308,105,14
16660,47320,590,70
16661,47324,34,5
16662,47326,88,16
16663,47327,1495,106
16664,47330,846,69
16665,47331,4990,414
16666,47334,1905,92
16667,47335,28,9
16668,47336,765,54
16669,47337,29,3
16670,47338,421,38
16671,47339,24,7
16672,47340,249,46
16673,47341,125,21
16674,47342,175,31
16675,47345,71,11
16676,47346,725,92
16677,47348,2277,173
16678,47351,11,4
16679,47352,168,11
16680,47353,939,110
16681,47354,64,17
16682,47355,582,49
16683,47356,1080,85
16684,47357,15,9
16685,47358,166,20
16686,47359,539,62
16687,47360,137,17
16688,47361,116,16
16689,47362,8090,526
16690,47366,54,4
16691,47368,326,34
16692,47369,103,17
16693,47371,4715,315
16694,47373,114,21
16695,47374,21630,1072
16696,47375,600,21
16697,47380,126,25
16698,47382,16,3
16699,47383,193,28
16700,47384,69,22
16701,47385,913,25
16702,47386,49,10
16703,47387,68,13
16704,47388,65,8
16705,47390,1086,94
16706,47393,14,4
16707,47394,2845,199
16708,47396,1549,121
16709,47401,13955,956
16710,47402,2303,52
16711,47403,17906,646
16712,47404,13312,966
16713,47405,80,12
16714,47406,226,39
16715,47407,81,11
16716,47408,3336,329
16717,47420,15,3
16718,47421,9397,694
16719,47424,1279,159
16720,47426,48,3
16721,47427,48,8
16722,47429,801,83
16723,47431,46,11
16724,47432,1252,82
16725,47433,300,50
16726,47436,64,12
16727,47438,355,45
16728,47441,2222,210
16729,47443,163,16
16730,47446,1984,148
16731,47448,1757,270
16732,47449,107,7
16733,47451,178,17
16734,47452,2672,97
16735,47454,2641,169
16736,47456,43,7
16737,47459,111,33
16738,47460,3070,227
16739,47462,378,50
16740,47464,63,4
16741,47465,155,20
16742,47468,88,17
16743,47469,195,27
16744,47470,71,10
16745,47471,270,41
16746,47501,7316,495
16747,47512,552,54
16748,47513,172,28
16749,47514,16,3
16750,47515,30,3
16751,47516,83,13
16752,47519,291,20
16753,47520,193,36
16754,47521,164,21
16755,47522,767,39
16756,47523,913,77
16757,47524,86,11
16758,47525,14,7
16759,47527,569,24
16760,47528,260,11
16761,47529,218,20
16762,47531,36,9
16763,47532,4294,137
16764,47535,67,7
16765,47537,19,6
16766,47541,347,20
16767,47542,5002,232
16768,47545,209,8
16769,47546,16549,738
16770,47547,564,29
16771,47549,1125,5
16772,47550,65,10
16773,47551,91,7
16774,47552,21,6
16775,47553,1247,185
16776,47556,31,3
16777,47557,74,15
16778,47558,1511,145
16779,47561,883,29
16780,47562,1464,158
16781,47564,302,21
16782,47567,1332,117
16783,47568,80,13
16784,47575,254,29
16785,47576,65,10
16786,47577,436,23
16787,47578,20,10
16788,47579,1029,67
16789,47580,15,5
16790,47581,695,44
16791,47585,13,6
16792,47586,4981,276
16793,47588,225,11
16794,47590,47,9
16795,47591,12045,683
16796,47597,38,11
16797,47598,174,27
16798,47601,3205,296
16799,47610,891,82
16800,47611,55,16
16801,47612,259,17
16802,47613,610,56
16803,47615,182,14
16804,47616,21,3
16805,47617,2,3
16806,47619,308,26
16807,47620,7550,276
16808,47629,66,10
16809,47630,10156,703
16810,47631,306,43
16811,47633,782,68
16812,47634,44,23
16813,47635,2092,166
16814,47637,45,11
16815,47638,219,52
16816,47639,1019,101
16817,47640,53,14
16818,47648,667,85
16819,47649,443,23
16820,47660,1092,65
16821,47665,716,56
16822,47666,56,13
16823,47670,13932,337
16824,47683,2,3
16825,47701,61,6
16826,47703,40,4
16827,47705,289,3
16828,47706,22,5
16829,47708,8574,356
16830,47710,12401,474
16831,47711,14856,789
16832,47712,7619,539
16833,47713,3205,218
16834,47714,9171,551
16835,47715,27140,1413
16836,47716,1084,22
16837,47719,249,14
16838,47720,3164,268
16839,47721,1137,6
16840,47722,1029,9
16841,47724,383,9
16842,47725,8070,363
16843,47728,54,7
16844,47747,5890,4
16845,47750,430,12
16846,47801,60,7
16847,47802,16582,920
16848,47803,7384,404
16849,47804,7218,240
16850,47805,3030,164
16851,47807,6831,491
16852,47808,386,16
16853,47809,296,24
16854,47832,362,14
16855,47833,60,10
16856,47834,5378,359
16857,47837,75,11
16858,47838,646,27
16859,47840,111,18
16860,47841,244,51
16861,47842,2602,169
16862,47846,37,10
16863,47847,53,15
16864,47848,198,20
16865,47849,5,3
16866,47850,284,37
16867,47853,8,4
16868,47854,102,11
16869,47855,32,4
16870,47857,101,4
16871,47858,6,5
16872,47859,104,18
16873,47861,17,4
16874,47862,236,26
16875,47866,105,6
16876,47868,49,25
16877,47872,1369,169
16878,47874,180,39
16879,47876,603,7
16880,47878,16,4
16881,47879,168,30
16882,47882,2557,202
16883,47885,619,99
16884,47901,3567,320
16885,47902,566,30
16886,47903,1798,31
16887,47904,8975,525
16888,47905,37623,1336
16889,47906,11994,826
16890,47907,471,25
16891,47909,7221,484
16892,47918,1559,117
16893,47920,265,36
16894,47921,131,19
16895,47922,330,28
16896,47923,559,71
16897,47924,18,4
16898,47925,62,8
16899,47926,53,9
16900,47928,525,31
16901,47929,81,14
16902,47930,282,10
16903,47932,1178,109
16904,47933,12707,693
16905,47940,52,17
16906,47941,49,15
16907,47942,65,11
16908,47943,313,16
16909,47944,636,84
16910,47946,470,56
16911,47948,384,20
16912,47949,98,19
16913,47950,50,8
16914,47951,629,75
16915,47952,247,35
16916,47954,251,34
16917,47955,212,18
16918,47957,123,27
16919,47959,1356,37
16920,47960,4916,390
16921,47963,307,38
16922,47965,36,9
16923,47966,22,8
16924,47967,45,10
16925,47968,52,11
16926,47969,21,3
16927,47970,227,32
16928,47971,199,27
16929,47974,58,11
16930,47975,80,15
16931,47977,1603,99
16932,47978,3824,303
16933,47980,265,30
16934,47981,30,9
16935,47982,28,3
16936,47983,103,6
16937,47987,1218,62
16938,47989,71,19
16939,47990,95,24
16940,47991,301,24
16941,47992,73,17
16942,47993,762,61
16943,47994,88,16
16944,47995,574,44
16945,47996,132,10
16946,48001,1168,183
16947,48002,127,43
16948,48003,1285,148
16949,48004,212,12
16950,48005,1319,113
16951,48006,152,24
16952,48007,242,8
16953,48009,14815,1353
16954,48012,132,21
16955,48014,734,74
16956,48015,3700,179
16957,48017,3187,320
16958,48021,3735,473
16959,48022,204,28
16960,48023,1625,106
16961,48025,12108,743
16962,48026,7332,499
16963,48027,93,28
16964,48028,68,20
16965,48030,2228,289
16966,48032,118,22
16967,48033,17190,540
16968,48034,30703,1003
16969,48035,9161,731
16970,48036,9325,591
16971,48037,372,13
16972,48038,15542,1050
16973,48039,1401,162
16974,48040,4632,215
16975,48041,428,60
16976,48042,5300,481
16977,48043,9279,565
16978,48044,6439,694
16979,48045,3253,400
16980,48046,148,15
16981,48047,6420,602
16982,48048,1294,111
16983,48049,189,49
16984,48050,367,39
16985,48051,11060,529
16986,48054,1856,137
16987,48059,5215,369
16988,48060,16540,910
16989,48061,114,10
16990,48062,2281,227
16991,48063,351,53
16992,48064,427,66
16993,48065,4856,301
16994,48066,15501,1039
16995,48067,10627,915
16996,48068,91,8
16997,48069,562,57
16998,48070,438,121
16999,48071,23512,1157
17000,48072,3209,385
17001,48073,19588,738
17002,48074,1357,161
17003,48075,28838,1269
17004,48076,18423,1049
17005,48079,3884,269
17006,48080,6943,608
17007,48081,3244,399
17008,48082,2451,232
17009,48083,40846,1761
17010,48084,44918,1783
17011,48085,4802,513
17012,48086,264,5
17013,48088,3153,304
17014,48089,16959,744
17015,48090,15823,15
17016,48091,15322,594
17017,48092,13701,722
17018,48093,10587,606
17019,48094,2758,304
17020,48095,2207,204
17021,48096,487,108
17022,48097,1077,88
17023,48098,26149,713
17024,48099,1105,18
17025,48101,8505,574
17026,48103,24306,1455
17027,48104,23144,1633
17028,48105,16726,599
17029,48106,2430,41
17030,48107,128,15
17031,48108,25388,1146
17032,48109,15919,40
17033,48111,14512,644
17034,48112,126,6
17035,48113,47,5
17036,48114,5452,575
17037,48115,112,8
17038,48116,21180,1207
17039,48117,1939,128
17040,48118,6284,348
17041,48120,12295,267
17042,48121,4448,40
17043,48122,2462,196
17044,48123,32,5
17045,48124,19812,948
17046,48125,2554,267
17047,48126,32592,1871
17048,48127,5843,961
17049,48128,1332,205
17050,48130,5102,358
17051,48131,2930,158
17052,48133,1019,70
17053,48134,7737,274
17054,48135,4130,432
17055,48137,237,60
17056,48138,1001,140
17057,48139,478,41
17058,48140,279,50
17059,48141,2049,213
17060,48143,203,19
17061,48144,1890,176
17062,48145,93,28
17063,48146,5399,517
17064,48150,42165,1548
17065,48151,469,12
17066,48152,30347,1204
17067,48153,6,4
17068,48154,8594,710
17069,48157,72,15
17070,48158,2514,129
17071,48159,187,30
17072,48160,2651,200
17073,48161,10037,498
17074,48162,9746,543
17075,48164,3558,132
17076,48165,5139,217
17077,48166,1621,81
17078,48167,10167,682
17079,48168,3817,331
17080,48169,1979,288
17081,48170,31307,1578
17082,48173,911,145
17083,48174,22844,827
17084,48175,44,4
17085,48176,11396,488
17086,48177,20,4
17087,48178,4301,602
17088,48179,341,40
17089,48180,25851,1385
17090,48182,3249,255
17091,48183,15929,817
17092,48184,9638,349
17093,48185,12899,959
17094,48186,3087,341
17095,48187,15558,1080
17096,48188,7885,546
17097,48189,2624,252
17098,48190,5,3
17099,48191,235,43
17100,48192,9040,538
17101,48193,2763,237
17102,48195,9308,568
17103,48197,14841,979
17104,48198,5842,433
17105,48201,27854,484
17106,48202,23721,460
17107,48203,8234,351
17108,48204,1493,180
17109,48205,2623,262
17110,48206,817,97
17111,48207,9804,519
17112,48208,2263,146
17113,48209,5110,395
17114,48210,4114,274
17115,48211,6296,164
17116,48212,4426,544
17117,48213,3867,193
17118,48214,3188,200
17119,48215,6499,140
17120,48216,4491,231
17121,48217,1384,91
17122,48218,1001,77
17123,48219,4141,399
17124,48220,8581,690
17125,48221,4259,294
17126,48223,2993,208
17127,48224,2944,244
17128,48225,2540,241
17129,48226,59608,1084
17130,48227,3081,354
17131,48228,4499,546
17132,48229,3314,79
17133,48230,4544,374
17134,48232,165,8
17135,48234,4695,340
17136,48235,5754,330
17137,48236,13612,761
17138,48237,7140,600
17139,48238,2997,268
17140,48239,10589,588
17141,48240,3135,248
17142,48242,16384,85
17143,48243,7261,110
17144,48265,4082,15
17145,48301,3959,390
17146,48302,10425,715
17147,48303,1041,8
17148,48304,9591,685
17149,48306,2722,376
17150,48307,20160,1411
17151,48308,39,9
17152,48309,17197,868
17153,48310,15197,975
17154,48311,79,8
17155,48312,25703,778
17156,48313,12476,696
17157,48314,13662,665
17158,48315,22376,1084
17159,48316,6410,558
17160,48317,7769,795
17161,48318,119,13
17162,48320,1771,209
17163,48321,258,17
17164,48322,13523,946
17165,48323,2399,355
17166,48324,1205,258
17167,48325,115,11
17168,48326,54679,1179
17169,48327,4971,463
17170,48328,5892,608
17171,48329,4762,510
17172,48330,38,3
17173,48331,28133,609
17174,48332,245,9
17175,48333,38,9
17176,48334,22138,1330
17177,48335,13394,690
17178,48336,10616,780
17179,48340,7530,282
17180,48341,13755,320
17181,48342,5223,305
17182,48343,419,9
17183,48346,7417,661
17184,48347,109,14
17185,48348,3202,375
17186,48350,679,102
17187,48353,2257,164
17188,48356,1002,154
17189,48357,2164,215
17190,48359,6682,285
17191,48360,2522,220
17192,48361,132,11
17193,48362,3247,333
17194,48363,366,93
17195,48366,12,3
17196,48367,334,67
17197,48370,144,33
17198,48371,4909,472
17199,48374,5957,349
17200,48375,17980,1114
17201,48376,97,11
17202,48377,22051,712
17203,48380,4346,136
17204,48381,5264,457
17205,48382,4540,462
17206,48383,1770,204
17207,48386,2895,267
17208,48387,10,3
17209,48390,10597,772
17210,48393,16137,806
17211,48397,190,9
17212,48401,38,12
17213,48412,312,62
17214,48413,4005,334
17215,48414,68,19
17216,48415,3529,256
17217,48416,582,77
17218,48417,62,23
17219,48418,269,55
17220,48419,111,32
17221,48420,3909,333
17222,48421,156,50
17223,48422,1078,102
17224,48423,7125,493
17225,48426,15,9
17226,48427,471,54
17227,48428,383,69
17228,48429,1300,129
17229,48430,11808,893
17230,48432,7,4
17231,48433,4021,425
17232,48435,77,11
17233,48436,68,32
17234,48437,89,12
17235,48438,661,108
17236,48439,15298,963
17237,48440,31,12
17238,48441,960,98
17239,48442,4707,367
17240,48444,4062,248
17241,48445,334,21
17242,48446,11050,771
17243,48449,289,35
17244,48450,1265,99
17245,48451,1371,195
17246,48453,1970,137
17247,48454,14,6
17248,48455,1020,154
17249,48456,31,12
17250,48457,765,94
17251,48458,1460,199
17252,48460,186,36
17253,48461,945,103
17254,48462,1594,268
17255,48463,311,56
17256,48464,40,10
17257,48465,27,5
17258,48466,290,23
17259,48467,202,67
17260,48468,54,18
17261,48469,145,33
17262,48470,84,19
17263,48471,2423,188
17264,48472,124,22
17265,48473,2446,274
17266,48475,1019,63
17267,48476,77,13
17268,48480,41,8
17269,48501,159,7
17270,48502,3294,237
17271,48503,11102,346
17272,48504,4136,337
17273,48505,1875,157
17274,48506,4697,305
17275,48507,21445,1082
17276,48509,5493,262
17277,48519,1886,121
17278,48529,2777,237
17279,48531,43,4
17280,48532,8230,586
17281,48551,4511,8
17282,48552,607,4
17283,48554,460,8
17284,48601,15349,499
17285,48602,14520,469
17286,48603,14370,805
17287,48604,9560,521
17288,48605,383,16
17289,48607,2669,108
17290,48608,168,7
17291,48609,2049,198
17292,48610,140,28
